HI,SK,KUR,DSK,DKUR,Surface
0.360822899,0.549432096,2.23272163,0.516202892,1.719287966,model_fluvial
0.479377552,0.320558639,2.036232235,-0.05835511,1.351744243,model_fluvial
0.432002184,0.566076544,2.482968844,0.0559281,1.745986371,model_fluvial
0.479375508,0.396538194,2.120057082,-0.125817335,1.500793554,model_fluvial
0.335736425,0.587422169,2.284172767,0.570261428,1.845363454,model_fluvial
0.392660131,0.515244084,2.259217125,0.177580393,1.565600544,model_fluvial
0.501237671,0.463713119,2.203152292,0.020750039,1.593242082,model_fluvial
0.345065025,0.536041329,2.28211341,0.519704332,1.752233177,model_fluvial
0.474509838,0.386723322,2.061765428,0.07989099,1.41734072,model_fluvial
0.556395045,0.26374976,1.988439769,-0.382729927,1.499014975,model_fluvial
0.35995173,0.565250404,2.303725107,0.471840151,1.727815673,model_fluvial
0.471009499,0.363095272,2.051615973,-0.060837501,1.389462986,model_fluvial
0.430862226,0.308242772,1.926052371,0.061412614,1.263201785,model_fluvial
0.484255962,0.345833614,2.005447043,-0.147053581,1.403721076,model_fluvial
0.552690498,0.271695882,1.958812286,-0.443676096,1.570184619,model_fluvial
0.356413709,0.39554793,2.079710322,0.18548601,1.423875031,model_fluvial
0.421998503,0.453157,2.16593715,0.24726919,1.519383984,model_fluvial
0.470096874,0.376313594,2.037098096,-0.009301118,1.375740811,model_fluvial
0.465812339,0.302677093,1.969231887,-0.199440388,1.358220741,model_fluvial
0.54380687,0.332522291,2.016236063,-0.192507149,1.45356243,model_fluvial
0.442068332,0.440639133,2.186251069,-0.038653549,1.528842163,model_fluvial
0.463289363,0.464023411,2.193383871,0.163054175,1.527281061,model_fluvial
0.477362968,0.350730734,2.035937132,-0.09360483,1.380805754,model_fluvial
0.377946352,0.473771986,2.180269423,0.191236769,1.485812845,model_fluvial
0.438330287,0.449948367,2.169725965,0.136457684,1.491718691,model_fluvial
0.44700192,0.347427553,2.063199187,-0.205004899,1.448294069,model_fluvial
0.409906708,0.570019579,2.330767359,0.285156507,1.6208173,model_fluvial
0.362952238,0.586744144,2.267919266,0.54451076,1.803274825,model_fluvial
0.473806728,0.355978052,2.00413589,0.05859271,1.351232906,model_fluvial
0.406994553,0.388596595,2.049329649,0.09595486,1.387945095,model_fluvial
0.435577322,0.482449021,2.257270448,0.099708748,1.567778074,model_fluvial
0.475526092,0.326900884,2.040888187,-0.126360632,1.382337836,model_fluvial
0.391547417,0.416129921,2.144076054,0.036213014,1.448326019,model_fluvial
0.332954963,0.542846841,2.374189389,0.413638484,1.701023449,model_fluvial
0.447491942,0.335302576,1.965851032,0.021282265,1.309917171,model_fluvial
0.506381495,0.320502895,1.948359137,-0.17375421,1.36772263,model_fluvial
0.530394044,0.269713276,1.934568987,-0.307847561,1.402628583,model_fluvial
0.431497294,0.439807646,2.129185664,0.111447104,1.437249803,model_fluvial
0.316119487,0.57119947,2.294345239,0.619829202,1.875276802,model_fluvial
0.330527818,0.749771757,2.731105733,0.614764848,2.164345317,model_fluvial
0.357139715,0.419964949,2.085139135,0.365305355,1.490939985,model_fluvial
0.458277312,0.337748211,1.969319521,0.113165709,1.29604949,model_fluvial
0.51268861,0.278037749,1.932134763,-0.137883368,1.298398919,model_fluvial
0.478038075,0.386892244,2.137815997,-0.108756453,1.467459638,model_fluvial
0.419016543,0.400949146,2.087267432,0.121178721,1.403728723,model_fluvial
0.345455118,0.427435436,2.157862955,0.212016321,1.530132449,model_fluvial
0.38395601,0.543873682,2.345873834,0.227799566,1.645718143,model_fluvial
0.411832239,0.407802369,2.146702045,0.039500374,1.434987439,model_fluvial
0.534317072,0.29754002,1.951076308,-0.321774808,1.472238596,model_fluvial
0.431937594,0.35614705,2.005192454,0.009766037,1.31397103,model_fluvial
0.457499601,0.506687745,2.245643378,0.130021121,1.611035628,model_fluvial
0.290616101,0.643601745,2.418981123,0.713554768,2.068888096,model_fluvial
0.439764936,0.439776817,2.173560956,0.117568943,1.466077854,model_fluvial
0.306449789,0.645911661,2.440975177,0.654907681,2.033241618,model_fluvial
0.343188704,0.575071327,2.376078646,0.414662181,1.725357469,model_fluvial
0.440091108,0.401700952,2.000790612,0.145009789,1.346162567,model_fluvial
0.399200735,0.382520852,2.014059444,0.118828986,1.390488729,model_fluvial
0.458289129,0.407529312,2.049269846,0.061316344,1.397588475,model_fluvial
0.51220315,0.335820755,2.001808431,-0.07965823,1.381626964,model_fluvial
0.446313399,0.359350546,1.991198417,0.079390765,1.340844152,model_fluvial
0.418852268,0.445076859,2.256896674,-0.072096729,1.558749081,model_fluvial
0.501274212,0.372722969,2.103308973,-0.116723375,1.461294703,model_fluvial
0.436820257,0.398697776,2.053594746,0.05814803,1.385463139,model_fluvial
0.477519572,0.329670264,1.980409083,-0.050929234,1.346586397,model_fluvial
0.401011319,0.426057995,2.05524539,0.290656858,1.451583213,model_fluvial
0.437277722,0.516799029,2.330243461,0.200072897,1.617107746,model_fluvial
0.396489669,0.406424617,2.16232435,-0.039805575,1.430001187,model_fluvial
0.43859459,0.346113506,2.049754858,-0.1650808,1.436575276,model_fluvial
0.356255152,0.537683469,2.329653296,0.42557753,1.680804088,model_fluvial
0.457920658,0.411441685,2.117355955,-0.032943862,1.454476964,model_fluvial
0.491798216,0.331236913,1.980583738,-0.156835641,1.384013473,model_fluvial
0.354201372,0.456036042,2.111392781,0.450863313,1.581015312,model_fluvial
0.345020764,0.659945498,2.548276463,0.447750688,1.900062305,model_fluvial
0.446569814,0.312338452,1.969513725,-0.102622104,1.321365542,model_fluvial
0.40555682,0.475921654,2.173628241,0.180208837,1.492412918,model_fluvial
0.430171555,0.447706516,2.122195059,0.211177782,1.468426195,model_fluvial
0.510949675,0.391537815,2.084863061,-0.011306298,1.481425645,model_fluvial
0.496555831,0.514312508,2.227592334,0.181307897,1.731201713,model_fluvial
0.445251168,0.426556537,2.132137914,0.086076464,1.434128569,model_fluvial
0.365233716,0.478331692,2.112427385,0.39470876,1.560990002,model_fluvial
0.52516179,0.325944663,2.035017549,-0.278308099,1.500649589,model_fluvial
0.393041002,0.550083483,2.289631952,0.434014657,1.771361211,model_fluvial
